supplier_id,supplier_name,country,contact_email,rating
1,Supplier0,Canada,supplier0@supply.com,1.8
2,Supplier1,Mexico,supplier1@supply.com,1.8
3,Supplier2,Mexico,supplier2@supply.com,1.8
4,Supplier3,Canada,supplier3@supply.com,1.8
5,Supplier4,Canada,supplier4@supply.com,1.8
6,Supplier5,Canada,supplier5@supply.com,1.8
7,Supplier6,Canada,supplier6@supply.com,1.8
8,Supplier7,Canada,supplier7@supply.com,1.8
9,Supplier8,Canada,supplier8@supply.com,1.8
10,Supplier9,USA,supplier9@supply.com,1.8
11,Supplier10,Canada,supplier10@supply.com,1.8
12,Supplier11,Canada,supplier11@supply.com,1.8
13,Supplier12,USA,supplier12@supply.com,1.8
14,Supplier13,Canada,supplier13@supply.com,1.8
15,Supplier14,Mexico,supplier14@supply.com,1.8
16,Supplier15,Mexico,supplier15@supply.com,1.8
17,Supplier16,Canada,supplier16@supply.com,1.8
18,Supplier17,USA,supplier17@supply.com,1.8
19,Supplier18,Mexico,supplier18@supply.com,1.8
20,Supplier19,USA,supplier19@supply.com,1.8
21,Supplier20,Mexico,supplier20@supply.com,1.8
22,Supplier21,Canada,supplier21@supply.com,1.8
23,Supplier22,USA,supplier22@supply.com,1.8
24,Supplier23,USA,supplier23@supply.com,1.8
25,Supplier24,USA,supplier24@supply.com,1.8
26,Supplier25,Mexico,supplier25@supply.com,1.8
27,Supplier26,Mexico,supplier26@supply.com,1.8
28,Supplier27,Mexico,supplier27@supply.com,1.8
29,Supplier28,Canada,supplier28@supply.com,1.8
30,Supplier29,Mexico,supplier29@supply.com,1.8
31,Supplier30,Canada,supplier30@supply.com,1.8
32,Supplier31,USA,supplier31@supply.com,1.8
33,Supplier32,USA,supplier32@supply.com,1.8
34,Supplier33,Canada,supplier33@supply.com,1.8
35,Supplier34,Mexico,supplier34@supply.com,1.8
36,Supplier35,Canada,supplier35@supply.com,1.8
37,Supplier36,USA,supplier36@supply.com,1.8
38,Supplier37,USA,supplier37@supply.com,1.8
39,Supplier38,Canada,supplier38@supply.com,1.8
40,Supplier39,Mexico,supplier39@supply.com,1.8
41,Supplier40,Mexico,supplier40@supply.com,1.8
42,Supplier41,Canada,supplier41@supply.com,1.8
43,Supplier42,Canada,supplier42@supply.com,1.8
44,Supplier43,Mexico,supplier43@supply.com,1.8
45,Supplier44,USA,supplier44@supply.com,1.8
46,Supplier45,Canada,supplier45@supply.com,1.8
47,Supplier46,Mexico,supplier46@supply.com,1.8
48,Supplier47,Mexico,supplier47@supply.com,1.8
49,Supplier48,USA,supplier48@supply.com,1.8
50,Supplier49,USA,supplier49@supply.com,1.8
51,Supplier50,USA,supplier50@supply.com,1.8
52,Supplier51,USA,supplier51@supply.com,1.8
53,Supplier52,USA,supplier52@supply.com,1.8
54,Supplier53,Canada,supplier53@supply.com,1.8
55,Supplier54,Mexico,supplier54@supply.com,1.8
56,Supplier55,Canada,supplier55@supply.com,1.8
57,Supplier56,Canada,supplier56@supply.com,1.8
58,Supplier57,Canada,supplier57@supply.com,1.8
59,Supplier58,Canada,supplier58@supply.com,1.8
60,Supplier59,Canada,supplier59@supply.com,1.8
61,Supplier60,USA,supplier60@supply.com,1.8
62,Supplier61,USA,supplier61@supply.com,1.8
63,Supplier62,Mexico,supplier62@supply.com,1.8
64,Supplier63,Canada,supplier63@supply.com,1.8
65,Supplier64,Mexico,supplier64@supply.com,1.8
66,Supplier65,USA,supplier65@supply.com,1.8
67,Supplier66,USA,supplier66@supply.com,1.8
68,Supplier67,USA,supplier67@supply.com,1.8
69,Supplier68,Canada,supplier68@supply.com,1.8
70,Supplier69,Canada,supplier69@supply.com,1.8
71,Supplier70,USA,supplier70@supply.com,1.8
72,Supplier71,Mexico,supplier71@supply.com,1.8
73,Supplier72,Mexico,supplier72@supply.com,1.8
74,Supplier73,USA,supplier73@supply.com,1.8
75,Supplier74,Mexico,supplier74@supply.com,1.8
76,Supplier75,USA,supplier75@supply.com,1.8
77,Supplier76,Mexico,supplier76@supply.com,1.8
78,Supplier77,USA,supplier77@supply.com,1.8
79,Supplier78,Mexico,supplier78@supply.com,1.8
80,Supplier79,Canada,supplier79@supply.com,1.8
81,Supplier80,USA,supplier80@supply.com,1.8
82,Supplier81,USA,supplier81@supply.com,1.8
83,Supplier82,Mexico,supplier82@supply.com,1.8
84,Supplier83,USA,supplier83@supply.com,1.8
85,Supplier84,USA,supplier84@supply.com,1.8
86,Supplier85,USA,supplier85@supply.com,1.8
87,Supplier86,Canada,supplier86@supply.com,1.8
